timestamp,length
0.019,63405
0.024,73187
0.028,65118
0.04,64328
0.052,45082
0.058,65177
0.076,43337
0.088,57457
0.095,68106
0.104,54171
0.115,52841
0.12,59032
0.136,49241
0.15,66162
0.161,63762
0.17,55879
0.183,69140
0.187,73957
0.196,54414
0.204,55214
0.209,62254
0.215,70271
0.221,47921
0.226,59122
0.23,57422
0.235,58424
0.24,58500
0.242,75278
0.243,56167
0.25,48434
0.259,47693
0.271,48756
0.275,63048
0.285,44293
0.289,69518
0.293,61529
0.3,52287
0.307,44360
0.309,66834
0.315,63908
0.322,54524
0.33,52107
0.337,68565
0.339,64361
0.343,55399
0.35,67373
0.351,56980
0.354,85348
0.364,60292
0.37,59224
0.373,62659
0.374,65996
0.378,47806
0.386,58566
0.39,60089
0.398,65645
0.402,57402
0.406,57861
0.414,59116
0.418,62758
0.424,81102
0.431,46958
0.439,62088
0.443,88399
0.449,66510
0.458,64705
0.462,55034
0.468,51963
0.476,52296
0.484,45640
0.488,62126
0.492,78026
0.494,55728
0.5,53974
0.507,47772
0.51,62008
0.514,50897
0.524,56591
0.532,54117
0.538,82446
0.544,50379
0.549,57813
0.552,66125
0.559,46880
0.562,58969
0.565,54998
0.569,68594
0.574,60833
0.581,57450
0.587,71466
0.593,68450
0.594,54603
0.597,51916
0.602,78793
0.608,45909
0.609,57138
0.613,46459
0.618,69411
0.623,50768
0.628,56143
0.633,68221
0.642,44231
0.65,59929
0.657,65427
0.666,62241
0.673,45804
0.677,54891
0.681,64397
0.687,57885
0.696,56048
0.705,49616
0.71,40828
0.718,54184
0.721,83582
0.725,75263
0.728,52571
0.738,59897
0.746,68183
0.752,80325
0.757,61477
0.763,54294
0.769,55547
0.779,55446
0.782,61370
0.786,61601
0.796,48949
0.798,57942
0.802,57153
0.809,61785
0.818,57685
0.829,56280
0.833,62811
0.841,56889
0.843,66875
0.854,59298
0.865,56179
0.871,53275
0.875,47637
0.885,66665
0.896,62335
0.903,65885
0.914,50232
0.922,75285
0.931,84230
0.935,64317
0.943,64470
0.955,45860
0.96,61627
0.963,60651
0.974,55573
0.982,53375
0.991,65259
0.996,56523
1.01,40652
1.018,60336
1.029,66867
1.035,53938
1.043,82050
1.049,57005
1.057,51522
1.063,60052
1.077,56341
1.086,79921
1.093,62391
1.1,80115
1.103,75465
1.11,74742
1.112,54386
1.121,48448
1.131,44231
1.141,58625
1.15,69284
1.158,66750
1.16,59495
1.174,52466
1.18,56375
1.182,60896
1.186,71564
1.192,63622
1.196,51556
1.2,49686
1.202,59547
1.204,68343
1.207,73554
1.209,66678
1.21,59479
1.214,53066
1.215,58481
1.217,59711
1.221,60877
1.222,69359
1.226,70558
1.23,55969
1.234,49777
1.236,69545
1.239,60205
1.242,53506
1.247,61381
1.251,51152
1.255,56667
1.256,72034
1.259,74006
1.262,61814
1.263,61620
1.264,51768
1.265,60688
1.268,69767
1.27,74577
1.271,58079
1.273,70766
1.275,51731
1.277,61354
1.28,63893
1.283,68711
1.285,55684
1.286,66016
1.288,66711
1.292,57535
1.294,58930
1.295,60550
1.297,52465
1.3,74970
1.301,62579
1.304,64129
1.306,56901
1.307,46049
1.309,62355
1.31,71713
1.311,63896
1.314,54378
1.315,62633
1.317,54363
1.32,55525
1.324,59857
1.325,58103
1.327,76186
1.331,52569
1.332,77691
1.335,66126
1.338,61249
1.343,41879
1.348,52895
1.352,65036
1.354,58450
1.356,54932
1.36,72645
1.365,63769
1.371,59652
1.376,66342
1.384,48129
1.39,43712
1.398,55231
1.403,81496
1.411,63445
1.416,53852
1.421,65122
1.429,68102
1.434,54643
1.441,54746
1.446,75415
1.45,55763
1.457,49125
1.461,50818
1.464,70364
1.469,77432
1.472,53773
1.477,46494
1.481,50250
1.486,56069
1.489,46033
1.491,57868
1.493,53679
1.495,59396
1.498,83276
1.503,45536
1.506,65448
1.508,68249
1.512,58651
1.515,52330
1.517,70570
1.519,71748
1.521,83258
1.524,49044
1.526,54054
1.529,61779
1.532,72044
1.534,91513
1.538,50633
1.541,55321
1.543,63387
1.546,50916
1.549,69599
1.55,60050
1.553,51884
1.555,50060
1.558,53489
1.561,61019
1.563,64514
1.566,51461
1.569,64322
1.57,56112
1.572,59920
1.577,49549
1.58,59181
1.583,43637
1.586,56492
1.589,69549
1.592,75693
1.594,57829
1.596,81601
1.597,52953
1.6,58262
1.602,56266
1.605,58808
1.608,48627
1.61,77139
1.611,63941
1.614,67502
1.617,51073
1.619,58686
1.62,60101
1.624,45549
1.627,66202
1.63,61447
1.634,79502
1.636,58171
1.641,44071
1.643,65892
1.65,55594
1.654,61644
1.657,49606
1.659,51291
1.664,62278
1.666,65590
1.67,51482
1.671,72480
1.675,55422
1.678,54702
1.68,66560
1.685,67859
1.689,59319
1.694,77059
1.698,56740
1.701,69068
1.705,61320
1.708,53997
1.71,48338
1.714,47662
1.717,73544
1.722,62589
1.725,56798
1.729,53349
1.729,62833
1.731,69603
1.732,61125
1.735,55925
1.74,65035
1.742,62477
1.744,61070
1.747,53765
1.749,80700
1.752,52852
1.755,67622
1.758,58115
1.762,51776
1.764,55212
1.767,54083
1.768,68585
1.772,56563
1.772,66119
1.774,50148
1.777,60460
1.779,53690
1.783,56785
1.785,68320
1.789,48676
1.793,52172
1.795,55992
1.799,59363
1.8,60216
1.803,61668
1.804,65973
1.808,53668
1.81,64855
1.812,60261
1.812,62711
1.815,53121
1.818,61626
1.82,56933
1.821,70110
1.825,53929
1.828,54173
1.832,54043
1.834,76071
1.836,46224
1.837,57601
1.839,43236
1.843,51706
1.845,54091
1.847,59840
1.847,55817
1.85,62254
1.852,56415
1.853,60755
1.856,52417
1.857,71889
1.861,57774
1.862,57728
1.865,52450
1.868,55443
1.869,58944
1.873,54423
1.877,74952
1.88,47054
1.883,50583
1.887,52027
1.888,76290
1.891,57351
1.896,51500
1.899,58702
1.901,61596
1.905,55133
1.909,55944
1.913,72037
1.916,68249
1.919,58198
1.923,73568
1.926,86249
1.929,53737
1.934,59893
1.936,48507
1.938,71202
1.941,58461
1.945,48475
1.948,73032
1.952,43020
1.957,43886
1.958,77348
1.962,46125
1.964,61728
1.966,51331
1.969,76558
1.97,53149
1.971,59865
1.973,62424
1.975,64683
1.979,53242
1.982,73542
1.983,72218
1.987,71909
1.991,54145
1.993,63482
2.021,67228
2.028,46515
2.033,43316
2.036,50359
2.038,49889
2.043,59942
2.048,57068
2.052,55460
2.058,67993
2.06,51602
2.061,59406
2.066,65154
2.068,70792
2.07,68753
2.072,76889
2.074,77512
2.076,66435
2.081,81084
2.082,45695
2.086,71764
2.091,58196
2.095,55913
2.101,53304
2.102,81421
2.107,49608
2.112,53729
2.113,51275
2.116,72068
2.121,65516
2.125,59815
2.129,61686
2.135,60955
2.137,75368
2.139,61095
2.142,48347
2.146,92714
2.148,72712
2.151,59467
2.154,56229
2.159,49150
2.161,60429
2.166,61334
2.169,82016
2.171,70554
2.173,47119
2.175,61801
2.181,55226
2.186,67405
2.193,65851
2.199,78152
2.203,62745
2.209,59745
2.214,58779
2.218,53320
2.224,52551
2.23,86591
2.233,76569
2.243,56355
2.246,53760
2.251,60283
2.252,60768
2.257,54746
2.26,68729
2.262,56095
2.266,78552
2.27,65885
2.274,52591
2.277,61686
2.28,47370
2.282,56474
2.286,49390
2.288,60732
2.29,83970
2.294,64051
2.296,58094
2.299,65764
2.302,77020
2.305,53935
2.309,63750
2.311,58385
2.313,56912
2.316,68216
2.319,60317
2.32,92079
2.322,61097
2.324,53580
2.327,62095
2.33,43961
2.331,55994
2.334,54255
2.338,52313
2.339,57532
2.343,52009
2.344,60251
2.349,39469
2.351,78896
2.355,56275
2.356,68601
2.361,59382
2.364,92166
2.368,60372
2.373,51446
2.376,48254
2.383,42852
2.385,84545
2.387,59371
2.391,45310
2.395,58565
2.399,51256
2.405,59681
2.408,58136
2.414,55363
2.419,51947
2.428,57765
2.435,42237
2.443,53272
2.446,56273
2.453,52660
2.458,54520
2.461,78751
2.464,55107
2.467,52297
2.472,60888
2.475,55692
2.477,63489
2.479,82600
2.48,65856
2.483,63045
2.485,71147
2.489,55761
2.491,56901
2.493,45229
2.495,84553
2.495,85586
2.498,50878
2.5,75519
2.503,50252
2.503,53251
2.508,52429
2.51,68523
2.513,56880
2.517,47786
2.52,49636
2.523,70189
2.527,59507
2.529,65193
2.53,61462
2.534,45856
2.536,62662
2.538,52174
2.541,49321
2.545,50773
2.547,54300
2.55,46188
2.553,56013
2.554,66271
2.558,59655
2.56,66602
2.563,55168
2.568,47861
2.573,65661
2.576,67747
2.579,55233
2.581,78664
2.584,52409
2.587,54348
2.593,62494
2.596,57439
2.599,68964
2.603,67030
2.606,53970
2.61,57501
2.616,61649
2.619,71654
2.626,52264
2.629,63287
2.636,68662
2.639,50255
2.647,64221
2.651,66668
2.655,61842
2.659,46898
2.662,53960
2.666,50123
2.668,54018
2.669,48230
2.671,51055
2.672,69605
2.673,72874
2.677,54000
2.679,72036
2.682,55009
2.683,68942
2.686,59056
2.688,63690
2.691,51864
2.693,52677
2.696,73231
2.698,54908
2.702,59035
2.706,64409
2.71,54093
2.713,56695
2.716,50840
2.719,68614
2.721,60072
2.727,51274
2.728,60731
2.729,64800
2.731,73469
2.735,53580
2.736,58047
2.74,67213
2.744,50551
2.747,44400
2.751,50187
2.755,50299
2.759,68283
2.761,59928
2.762,62243
2.763,80910
2.764,72389
2.766,50084
2.771,47955
2.775,60003
2.778,52445
2.779,63806
2.781,59693
2.784,61520
2.788,59108
2.79,47997
2.793,49633
2.795,55549
2.797,63919
2.801,39064
2.806,52295
2.812,66641
2.816,66441
2.82,44900
2.823,68594
2.827,51605
2.829,57103
2.832,60872
2.833,51785
2.836,50470
2.839,54979
2.841,55691
2.843,50562
2.845,70425
2.848,68965
2.852,47368
2.855,49707
2.858,58536
2.861,62732
2.863,39848
2.867,60471
2.868,52507
2.869,73826
2.872,61006
2.873,61138
2.877,55218
2.881,56494
2.885,48790
2.888,67728
2.892,60858
2.894,57645
2.896,58346
2.9,52027
2.903,59326
2.907,72460
2.911,90893
2.915,61173
2.917,51804
2.921,85687
2.923,61308
2.929,55824
2.93,90317
2.934,67167
2.937,60453
2.947,54069
2.961,47298
2.969,45377
2.973,73358
2.985,64606
2.988,56514
2.999,52758
3.002,72500
3.007,65080
3.018,59069
3.031,46984
3.038,63988
3.047,74839
3.057,67372
3.063,53233
3.076,44339
3.081,48204
3.086,65190
3.094,53597
3.105,48942
3.109,62569
3.121,76284
3.126,78263
3.134,58559
3.143,75983
3.145,60042
3.156,55240
3.168,48922
3.177,54536
3.185,69798
3.188,51207
3.192,60061
3.193,62318
3.198,61964
3.202,52776
3.203,71326
3.206,58222
3.211,42300
3.214,92587
3.218,66876
3.223,75520
3.227,59279
3.229,62707
3.232,71971
3.234,61246
3.237,61635
3.241,57273
3.246,64133
3.252,63098
3.258,65257
3.26,49291
3.264,52344
3.266,55486
3.267,51916
3.269,59775
3.276,54217
3.278,60544
3.282,81709
3.288,52772
3.295,58963
3.302,50542
3.306,61294
3.308,60366
3.31,56014
3.311,76137
3.315,53255
3.316,53195
3.32,59980
3.322,57320
3.326,64070
3.326,73030
3.327,71198
3.331,58980
3.335,46986
3.339,46630
3.343,75339
3.344,71766
3.345,74172
3.346,61527
3.349,59057
3.351,84575
3.352,54689
3.356,56671
3.358,65425
3.363,62162
3.365,63803
3.368,58933
3.37,76348
3.372,60766
3.377,52219
3.383,62115
3.388,59981
3.394,56922
3.399,73033
3.402,61499
3.408,45190
3.415,51892
3.419,61796
3.422,62856
3.427,64054
3.429,72133
3.432,63940
3.434,57635
3.439,56990
3.446,51885
3.45,53325
3.455,52849
3.461,57632
3.467,61098
3.47,66348
3.472,53540
3.475,74963
3.477,50266
3.478,46591
3.48,81231
3.483,57381
3.486,52928
3.489,50757
3.493,58857
3.496,62362
3.501,54790
3.503,58488
3.504,68641
3.505,65815
3.509,58393
3.511,54076
3.512,75890
3.516,59222
3.52,57545
3.523,78367
3.527,50261
3.528,63519
3.532,47859
3.534,53483
3.538,47165
3.541,69307
3.542,72540
3.545,57087
3.548,67545
3.551,68156
3.553,65543
3.556,83680
3.559,87059
3.563,51104
3.566,56857
3.567,53006
3.57,68660
3.574,49738
3.576,86537
3.577,66974
3.579,55447
3.584,56468
3.59,56398
3.597,44982
3.602,71293
3.608,58051
3.614,56718
3.62,63489
3.624,57265
3.628,51851
3.633,59367
3.637,53322
3.64,50948
3.645,48235
3.651,62967
3.655,62774
3.658,49776
3.66,48980
3.663,54236
3.664,42773
3.668,51867
3.672,63683
3.674,60351
3.675,54118
3.676,53390
3.678,63883
3.681,49902
3.682,58894
3.684,78810
3.687,57486
3.689,56820
3.692,52489
3.696,56748
3.699,56449
3.7,66093
3.702,50786
3.706,60447
3.708,85038
3.712,56839
3.716,59785
3.72,44505
3.725,50919
3.728,64847
3.733,52674
3.736,73393
3.74,63921
3.742,74927
3.744,52663
3.748,66872
3.752,48800
3.753,46530
3.757,51226
3.759,61409
3.76,85917
3.763,58421
3.766,52601
3.769,75128
3.771,60088
3.774,47274
3.778,60910
3.78,43602
3.781,63609
3.784,57907
3.785,76968
3.787,60716
3.79,56151
3.793,42268
3.796,58275
3.798,62023
3.8,47847
3.802,46142
3.803,65769
3.808,61528
3.81,52274
3.813,70919
3.817,57280
3.822,46414
3.824,69076
3.83,56117
3.831,88495
3.837,66570
3.844,54880
3.85,53968
3.855,55972
3.86,56279
3.866,48739
3.867,67521
3.869,55890
3.878,48130
3.882,63478
3.889,53399
3.894,54729
3.899,48929
3.901,87647
3.906,67024
3.912,68027
3.914,54726
3.915,71141
3.92,45722
3.925,39987
3.928,58712
3.932,58166
3.936,49199
3.938,44878
3.94,51374
3.942,67891
3.944,60610
3.947,64492
3.951,47433
3.953,66105
3.953,92258
3.958,43906
3.959,63475
3.962,61646
3.963,76597
3.965,48539
3.967,66770
3.97,44970
3.972,46158
3.973,47305
3.976,52631
3.979,70244
3.98,70353
3.982,53947
3.985,48311
3.986,55369
3.988,50383
3.992,55625
3.995,67939
3.998,55040
3.999,70814
4,52496
4.004,64182
4.006,69147
4.01,45988
4.011,59755
4.013,62772
4.016,64310
4.018,48456
4.022,47162
4.024,46449
4.026,83305
4.028,66153
4.031,65004
4.033,68195
4.036,55226
4.039,65860
4.042,56338
4.045,65427
4.047,46608
4.051,57419
4.056,56039
4.062,66318
4.067,61699
4.071,58415
4.074,87968
4.079,79077
4.081,47154
4.084,47787
4.087,68247
4.091,58829
4.097,50627
4.104,53722
4.106,74975
4.107,72419
4.111,56497
4.117,80090
4.118,58142
4.121,63615
4.124,48694
4.128,60658
4.132,70715
4.138,59155
4.144,64631
4.153,58154
4.16,56528
4.164,56436
4.171,53309
4.18,62722
4.187,63611
4.197,49530
4.2,62470
4.204,62214
4.213,80979
4.222,70151
4.227,56517
4.239,52553
4.247,45165
4.257,62952
4.261,61770
4.265,69795
4.273,54284
4.281,71902
4.285,62707
4.293,62013
4.3,61386
4.311,62030
4.319,44675
4.325,60599
4.335,49189
4.338,59802
4.344,73574
4.349,49336
4.351,51397
4.354,57891
4.357,54774
4.358,68288
4.361,59801
4.362,76167
4.367,54916
4.372,50782
4.375,61408
4.381,66855
4.383,54366
4.389,69977
4.394,61915
4.4,57650
4.402,58304
4.404,85957
4.408,55428
4.414,49913
4.418,60246
4.424,68747
4.431,53460
4.437,64586
4.443,71060
4.45,75537
4.458,70091
4.462,56863
4.469,56286
4.476,68743
4.483,60029
4.488,51664
4.492,64561
4.497,59076
4.505,64134
4.511,50006
4.514,47191
4.522,67755
4.531,46544
4.539,62478
4.543,82032
4.551,47407
4.555,53500
4.561,55468
4.562,78540
4.569,64540
4.571,56434
4.577,52986
4.581,89731
4.583,61044
4.589,52255
4.597,72956
4.603,72783
4.605,68606
4.611,60828
4.616,54819
4.619,57679
4.623,56612
4.625,55235
4.628,57982
4.631,55456
4.635,48037
4.638,64048
4.642,60607
4.644,61979
4.647,50876
4.65,62535
4.654,69712
4.657,49617
4.659,70582
4.661,75243
4.664,69390
4.667,49174
4.669,54278
4.672,83916
4.674,50927
4.675,70329
4.676,71460
4.68,55134
4.683,56886
4.684,58237
4.686,48393
4.69,51663
4.692,69725
4.695,71156
4.697,65429
4.701,60821
4.703,60073
4.707,56694
4.708,54757
4.713,53398
4.716,63639
4.718,51715
4.721,67300
4.724,48338
4.726,50678
4.728,75941
4.731,52088
4.733,71276
4.734,50356
4.737,58297
4.741,57567
4.744,60648
4.746,55261
4.747,58900
4.75,75034
4.752,53237
4.755,56212
4.756,78380
4.759,63702
4.762,60351
4.764,62069
4.767,47559
4.77,58816
4.771,75099
4.775,52266
4.779,46778
4.782,60418
4.785,47708
4.788,46846
4.789,73919
4.79,86233
4.793,59076
4.795,55951
4.797,58977
4.798,57832
4.798,68149
4.802,50013
4.804,60202
4.808,61539
4.809,77705
4.811,63828
4.814,53500
4.816,80512
4.817,67846
4.82,53223
4.821,61388
4.823,71770
4.827,55250
4.83,56367
4.834,51550
4.837,57895
4.839,68170
4.841,65636
4.842,79807
4.845,52435
4.846,93243
4.848,70131
4.851,81987
4.855,50526
4.858,63872
4.861,92128
4.864,74572
4.866,73937
4.868,53763
4.87,67928
4.873,59322
4.876,56798
4.881,59849
4.883,64123
4.887,63421
4.888,56876
4.891,69105
4.893,56348
4.896,66224
4.9,60193
4.903,52655
4.905,54033
4.909,58214
4.911,72435
4.914,58826
4.92,49662
4.925,53549
4.929,84180
4.932,48062
4.933,76916
4.937,62203
4.94,58107
4.942,55214
4.949,51417
4.954,56935
4.96,61360
4.968,56722
4.972,51623
4.977,55325
4.98,70922
4.993,48722
5.002,53586
5.01,60578
5.022,47554
5.032,45155
5.039,72704
5.048,79798
5.06,61530
5.064,62095
5.073,45975
5.079,58011
5.088,58704
5.093,53177
5.102,62468
5.111,47756
5.121,51783
5.126,56320
5.131,58006
5.137,54484
5.143,50756
5.144,63841
5.147,82133
5.149,56042
5.152,52556
5.156,52946
5.159,61258
5.16,63238
5.165,66548
5.169,47221
5.171,60548
5.172,69961
5.175,55228
5.177,84540
5.179,65867
5.182,53054
5.185,44668
5.188,51433
5.191,78800
5.194,60987
5.197,64036
5.2,62985
5.203,53626
5.206,70328
5.209,66013
5.212,55849
5.214,53331
5.217,57715
5.221,63236
5.223,67876
5.224,74032
5.225,65644
5.226,76521
5.227,63288
5.231,49872
5.231,63460
5.237,51730
5.239,60685
5.24,76203
5.241,61083
5.243,57388
5.246,44313
5.249,65361
5.252,55626
5.255,54303
5.259,74439
5.261,73644
5.265,57888
5.266,62255
5.267,85362
5.27,67767
5.272,59730
5.273,61814
5.277,47812
5.281,60643
5.284,58526
5.285,64546
5.288,53640
5.292,47678
5.295,75340
5.298,65099
5.299,55541
5.303,57012
5.306,48567
5.307,70078
5.309,65142
5.31,53959
5.314,55819
5.316,50325
5.318,71572
5.32,50649
5.324,65248
5.328,59582
5.328,72963
5.332,42160
5.338,68049
5.339,70140
5.345,54277
5.352,52166
5.355,58819
5.359,60969
5.36,62045
5.364,60652
5.368,70019
5.371,59189
