timestamp,length
0.004,61929
0.005,73031
0.006,62520
0.006,80415
0.007,58749
0.01,64054
0.011,65864
0.012,86945
0.013,56223
0.014,79168
0.016,63207
0.016,69945
0.018,76062
0.019,68069
0.021,61089
0.022,63677
0.024,46085
0.026,58355
0.028,59779
0.029,59014
0.031,53023
0.032,75217
0.034,63456
0.035,67765
0.037,45951
0.039,53103
0.04,48148
0.041,67351
0.042,51042
0.042,56883
0.043,53698
0.043,66132
0.045,40843
0.046,75306
0.048,47594
0.049,62935
0.051,74934
0.052,59734
0.052,58457
0.054,57536
0.056,52352
0.057,83136
0.059,62613
0.06,76016
0.061,56345
0.062,56484
0.063,78869
0.065,71328
0.065,58931
0.067,58938
0.069,63755
0.07,53698
0.071,82476
0.074,66048
0.076,53943
0.077,86894
0.077,54069
0.079,63231
0.081,63808
0.082,64455
0.083,76010
0.084,59309
0.086,59884
0.088,48529
0.089,65126
0.09,72128
0.092,67148
0.093,66806
0.095,78959
0.096,47635
0.097,69751
0.098,58287
0.1,57055
0.102,73678
0.102,67179
0.103,62328
0.105,54181
0.107,58396
0.108,74026
0.109,57631
0.11,93277
0.111,57892
0.113,45816
0.115,60874
0.116,57596
0.117,49334
0.118,81783
0.119,66572
0.12,80092
0.122,64672
0.123,60507
0.123,58454
0.124,58279
0.126,47949
0.127,66979
0.129,91674
0.13,53052
0.13,71652
0.131,78832
0.133,62398
0.133,56713
0.135,61307
0.138,58684
0.139,37266
0.141,45672
0.143,51268
0.145,57169
0.146,83374
0.148,79546
0.149,69179
0.149,71603
0.15,73901
0.152,65374
0.153,89450
0.153,74877
0.154,69258
0.155,71425
0.157,65573
0.158,75925
0.159,71309
0.162,49214
0.163,54936
0.163,69410
0.164,82338
0.167,53457
0.167,69633
0.168,70959
0.169,76189
0.17,75681
0.171,60381
0.172,66176
0.174,61936
0.175,64164
0.175,74629
0.177,72839
0.179,61270
0.181,60848
0.182,66368
0.184,54451
0.185,51394
0.187,53267
0.188,52334
0.189,55064
0.19,65722
0.19,69409
0.193,66251
0.194,39398
0.196,50969
0.197,52938
0.2,80179
0.201,69077
0.203,60360
0.204,50340
0.204,58632
0.205,64912
0.207,64385
0.208,72514
0.208,77285
0.21,40799
0.212,61204
0.213,91216
0.214,47376
0.215,75946
0.216,59653
0.218,52935
0.22,58729
0.221,63453
0.222,65011
0.224,39421
0.226,61249
0.227,90508
0.229,65155
0.23,50109
0.23,69638
0.232,63008
0.233,61851
0.235,59975
0.236,61922
0.236,72478
0.237,67444
0.24,58448
0.241,58988
0.242,57107
0.244,50357
0.245,55270
0.246,52295
0.248,84700
0.249,52252
0.25,61345
0.251,73652
0.252,56009
0.252,68076
0.253,81168
0.255,60378
0.255,62861
0.258,53410
0.26,64840
0.263,51450
0.265,77515
0.265,72949
0.267,67505
0.268,69922
0.27,64258
0.271,44963
0.273,84484
0.275,64180
0.277,77874
0.278,72940
0.28,53433
0.281,72937
0.282,60479
0.284,69075
0.285,61288
0.288,48747
0.289,69383
0.29,66663
0.292,76837
0.293,48154
0.294,74962
0.294,60152
0.295,66311
0.296,51593
0.298,61747
0.299,71282
0.3,69085
0.301,47758
0.303,79231
0.305,42562
0.307,61154
0.307,86381
0.31,62880
0.311,69824
0.313,62265
0.314,66644
0.315,78499
0.316,75179
0.318,83862
0.318,65350
0.32,62861
0.322,65233
0.323,74916
0.325,58244
0.326,54575
0.327,63256
0.328,69652
0.328,83457
0.329,53682
0.33,71371
0.332,53478
0.334,68246
0.336,59938
0.338,61803
0.34,70714
0.341,70609
0.343,61216
0.344,70356
0.346,37068
0.348,51151
0.35,66790
0.352,45031
0.353,62296
0.354,60072
0.355,73422
0.356,74771
0.357,72014
0.357,63801
0.359,78929
0.36,67102
0.361,76991
0.362,62529
0.363,49756
0.365,61630
0.365,61054
0.367,42094
0.369,72316
0.369,54954
0.37,73600
0.372,67222
0.372,71677
0.374,77130
0.375,72620
0.376,59571
0.378,74641
0.379,55824
0.38,61956
0.381,91072
0.382,51412
0.385,52749
0.385,70223
0.386,77560
0.387,56324
0.389,56917
0.389,55400
0.39,54427
0.391,81455
0.393,60543
0.395,63999
0.397,39773
0.397,61713
0.398,55951
0.398,69887
0.399,61121
0.4,66861
0.401,77827
0.402,64989
0.404,86609
0.405,68226
0.405,63951
0.407,70459
0.409,62441
0.409,69810
0.41,52022
0.411,64988
0.413,60277
0.415,59403
0.416,54351
0.417,55152
0.418,53586
0.42,49373
